UniqueMeasurementID,SampleUniqueID,Date,"DataCollectorName
",Country,StudySiteName,MeanAmbientTemperatureDuringIncubation (°C),MeanAmbientHumidityDuringIncubation (%),ZiplocBagSize,ScaleModel,SampleType,FruitSpeciesName,CommonName,RipenessStage,FruitExteriorCondition,LocationDescription,Handling Classification,NumberFruitsinBag,MeasuredFruitWeight (g for fruit; mL for standards),TotalFruitWeight (g for fruit; mL for standards),HeadspaceInjected (mL),WaterDilutionAmount (mL),IncubationStart,IncubationEnd,IncubationTime (h),BreathalyzerMeasurement,MeasurementRepetition,AmountWholeFruitsFallenOnGround,Comments,PercentEtOHCalculatedfromBreathalyzer
15,15,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Bromelia plumieri,Piñuela,ripe,sliced open sample 010,plant,other,5,79.51,79.51,60,0,2019-12-15 16:06,2019-12-15 19:38,3:32,0,First,n/a,,0.0000%
16,16,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,ripe,dehisced husk,ground,eaten,0.5,19.95,Unknown,60,0,2019-12-15 12:39,2019-12-15 16:10,3:31,0.014,First,few,,0.0001%
17,16,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,ripe,dehisced husk,ground,eaten,0.5,19.84,Unknown,60,0,2019-12-15 12:39,2019-12-15 16:15,3:36,0.02,Repeat1,few,,0.0151%
18,17,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,midripe,slight mold and discolor,ground (under feeding tree),other,0.5,22,Unknown,60,0,2019-12-15 12:39,2019-12-15 16:23,3:44,0,First,few,old fruit,0.0000%
19,18,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,midripe,slight mold and discolor,ground (under feeding tree),other,0.5,29.46,Unknown,60,0,2019-12-15 12:39,2019-12-15 18:11,5:32,0,First,few,old fruit; dehisced but yellow (midripe) aril,0.0000%
20,19,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,ripe,slight mold and discolor,ground,other,0.5,27.13,Unknown,60,0,2019-12-15 12:39,2019-12-15 18:17,5:38,0,First,few,pale orange aril,0.0000%
21,20,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,unripe,slight mold and discolor,ground,other,0.5,39.15,Unknown,60,0,2019-12-15 12:39,2019-12-15 18:20,5:41,0,First,few,,0.0000%
22,21,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,ripe,dehisced husk,plant,other,0.5,44.21,Unknown,60,0,2019-12-15 12:39,2019-12-15 18:24,5:45,0,First,few,,0.0000%
23,22,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,ripe,dehisced husk,plant,other,1,44.77,44.77,60,0,2019-12-15 12:39,2019-12-15 18:26,5:47,0,First,few,,0.0000%
24,23,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,ripe,dehisced husk,plant,other,1,71.81,71.81,60,0,2019-12-15 12:39,2019-12-15 18:30,5:51,0,First,few,,0.0000%
25,24,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,ripe,dehisced husk,plant,other,1,69.61,69.61,60,0,2019-12-15 12:39,2019-12-15 18:35,5:56,0,First,few,deeper orange aril - halfway open,0.0000%
26,25,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,ripe,dehisced husk,ground,eaten,0.25,16.3,Unknown,60,0,2019-12-15 16:25,2019-12-15 19:24,2:59,0,First,few,deep orange fully open,0.0000%
27,26,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,ripe,dehisced husk,ground,rejected,1,54,54,60,0,2019-12-15 16:25,2019-12-15 19:27,3:02,0,First,few,deep orange,0.0000%
28,16,December 15 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 29.6,86.5,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Tabernaemontana odontadeniiflora,Huevos de burro,ripe,dehisced husk,ground,eaten,0.5,20.94,Unknown,60,0,2019-12-15 12:39,2019-12-15 19:36,6:57,0.022,Second,few,,0.0209%
58,37,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",0.1,standard,,,,,,,5,5,60,,2019-12-17 12:45,2019-12-17 14:52,2:07,0.045,First,,,0.0887%
59,38,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",0.5,standard,,,,,,,5,5,60,,2019-12-17 12:45,2019-12-17 14:57,2:12,0.186,First,,,0.5054%
60,39,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",1,standard,,,,,,,5,5,60,,2019-12-17 12:45,2019-12-17 15:00,2:15,0.358,First,,,1.0138%
61,40,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",2,standard,,,,,,,5,5,60,,2019-12-17 12:45,2019-12-17 15:03,2:18,0.689,First,,,1.9921%
64,44,December 17 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Diospyros salicifolia,Lorito,ripe,intact,ground (under the tree),other,5,18.1,18.1,60,0,2019-12-17 12:45,2019-12-17 15:33,2:48,0,First,few,,0.0000%
66,45,December 17 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Diospyros salicifolia,Lorito,ripe,cracked open (sample 44),ground (under the tree),other,5,18.1,18.1,60,0,2019-12-17 15:46,2019-12-17 16:42,0:56,0.012,Second,many,"Cracked open husk of 44, Ethanol detected after cracked open",0.0001%
68,41,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Diospyros salicifolia,Lorito,ripe,partially eaten by capuchin,ground,eaten,5,15.11,unknown,60,0,2019-12-17 12:45,2019-12-17 15:57,3:12,0.048,First,many,,0.0976%
69,42,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Diospyros salicifolia,Lorito,ripe,partially eaten by capuchin,ground,eaten,5,13.62,unknown,60,0,2019-12-17 12:45,2019-12-17 16:00,3:15,0.03,First,many,,0.0444%
70,46,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Diospyros salicifolia,Lorito,ripe,intact,ground,other,5,19.08,19.08,60,0,2019-12-17 12:45,2019-12-17 16:04,3:19,0.016,First,many,,0.0030%
71,48,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Guazuma ulmifolia,Guácimo,unripe,intact,ground,other,3,9.74,9.74,60,0,2019-12-17 12:45,2019-12-17 16:10,3:25,0,First,few,not a feeding tree - found on walk home. Capuchins only rarely eat these,0.0000%
72,47,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Diospyros salicifolia,Lorito,ripe,cracked open (sample 46),ground,other,5,19.08,19.08,60,0,2019-12-17 16:05,2019-12-17 16:40,0:35,0.031,Second,many,Cracked open husk of 46,0.0473%
73,49,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias mombin,Jocote jobo,ripe,some bite marks,ground (under the tree),rejected,1,4.92,4.92,60,0,2019-12-17 12:45,2019-12-17 16:12,3:27,0,First,few,,0.0000%
74,50,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias mombin,Jocote jobo,ripe,some bite marks,ground (under the tree),rejected,1,8.4,8.4,60,0,2019-12-17 12:45,2019-12-17 16:16,3:31,0.03,First,few,,0.0444%
75,51,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias mombin,Jocote jobo,ripe,intact,ground (under the tree),other,1,8.41,8.41,60,0,2019-12-17 12:45,2019-12-17 16:19,3:34,0.153,First,few,,0.4079%
76,52,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias mombin,Jocote jobo,ripe,only seed with some pulp,ground,eaten,1,4.16,,60,0,2019-12-17 12:45,2019-12-17 16:23,3:38,0.252,First,few,"Seed from the fruit eaten by a capuchin, some pulp remaining",0.7005%
77,53,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias mombin,Jocote jobo,ripe,some bite marks,ground (under the tree),rejected,1,7.04,7.04,60,0,2019-12-17 12:45,2019-12-17 16:26,3:41,0.047,First,few,,0.0946%
78,54,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Karwinskia calderonii,Huilihuiste,ripe,intact,ground (under the tree),other,21,14.82,14.82,60,0,2019-12-17 12:45,2019-12-17 16:30,3:45,0,First,few,,0.0000%
79,55,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Diospyros salicifolia,Lorito,ripe,intact,ground (under the tree),other,5,18.01,18.01,60,0,2019-12-17 12:45,2019-12-17 16:33,3:48,0,First,many,,0.0000%
80,56,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Diospyros salicifolia,Lorito,ripe,cracked open (sample 55),ground,other,5,18.01,18.01,60,0,2019-12-17 16:35,2019-12-17 17:16,0:41,0.02,Second,many,cracked open and reincubated sample 55,0.0148%
81,57,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Diospyros salicifolia,Lorito,ripe,cracked open,ground,other,6,10.84,unknown,60,0,2019-12-17 12:45,2019-12-17 16:36,3:51,0,First,many,fruit is dry and old,0.0000%
82,58,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Quercus oleoides,Encino,ripe,intact,ground,other,6,12.45,12.45,60,0,2019-12-17 12:45,2019-12-17 16:36,3:51,0,First,many,,0.0000%
83,59,December 17 2019,Amanda Melin,Costa Rica,Santa Rosa,Max 30.6,84.9,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Quercus oleoides,Encino,ripe,partially eaten,ground (under feeding tree),eaten,4,8.8,unknown,60,0,2019-12-17 12:45,2019-12-17 16:36,3:51,0,First,many,collect under oak tree where capuchins foraging,0.0000%
88,46,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Diospyros salicifolia,Lorito,ripe,cracked open (sample 45),ground (under feeding tree),other,5,18.73,18.73,60,0,2019-12-18 12:43,2019-12-18 13:00,0:17,0.014,Third,many,"Cracked open husk of 45, Ethanol detected after cracked open ",0.0001%
89,48,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Diospyros salicifolia,Lorito,ripe,Cracked open (sample 47),ground,other,5,19.25,19.25,60,0,2019-12-18 12:43,2019-12-18 13:15,0:32,0.033,Third,many,Cracked open husk of 47,0.0532%
90,49,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Guazuma ulmifolia,Guácimo,unripe,intact (sample 48),ground,other,3,9.83,9.83,60,0,2019-12-18 12:43,2019-12-18 13:26,0:43,0,Second,few,,0.0000%
91,50,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),"Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Fruit,Spondias mombin,Jocote jobo,ripe,some bite marks (sample 49),ground (under feeding tree),rejected,1,4.69,4.69,60,0,2019-12-18 12:43,2019-12-18 13:35,0:52,0,Second,few,,0.0000%
92,51,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),,Fruit,Spondias mombin,Jocote jobo,ripe,some bite marks (sample 50),ground (under feeding tree),rejected,1,8.51,8.51,60,0,2019-12-18 12:43,2019-12-18 13:50,1:07,0.228,Second,few,,0.6296%
93,52,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),,Fruit,Spondias mombin,Jocote jobo,ripe,intact (sample 51),ground (under feeding tree),other,1,8.46,8.46,60,0,2019-12-18 12:43,2019-12-18 14:00,1:17,0.561,Second,few,,1.6138%
94,53,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),,Fruit,Spondias mombin,Jocote jobo,ripe,only seed with some pulp (Sample 52),ground,eaten,1,4.38,4.38,60,0,2019-12-18 12:43,2019-12-18 14:15,1:32,0,Second,few,"Seed from the fruit eaten by a capuchin, some pulp remaining",0.0000%
95,54,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),,Fruit,Spondias mombin,Jocote jobo,ripe,some bite marks (sample 53),ground (under feeding tree),rejected,1,7.16,7.16,60,0,2019-12-18 12:43,2019-12-18 14:20,1:37,0.491,Second,few,,1.4069%
96,55,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),,Fruit,Karwinskia calderonii,Huilihuiste,ripe,intact (sample 54),ground (under feeding tree),other,21,14.9,14.9,60,0,2019-12-18 12:43,2019-12-18 14:27,1:44,0.02,Second,few,,0.0148%
97,57,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),,Fruit,Diospyros salicifolia,Lorito,ripe,cracked open (sample 56),ground,other,5,18.71,18.71,60,0,2019-12-18 12:43,2019-12-18 14:32,1:49,0.027,Third,many,cracked open and reincubated sample 56,0.0355%
98,58,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),,Fruit,Diospyros salicifolia,Lorito,ripe,cracked open (sample 57),ground,other,6,11.97,11.97,60,0,2019-12-18 12:43,2019-12-18 14:40,1:57,0,Second,many,fruit is dry and old,0.0000%
99,59,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),,Fruit,Quercus oleoides,Encino,ripe,intact (sample 58),ground,other,4,12.55,12.55,60,0,2019-12-18 12:43,2019-12-18 14:47,2:04,0,Second,many,,0.0000%
100,60,December 18 2019,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 29.9,69.3,Sandwich (16.5 x 14.9 cm),,Fruit,Quercus oleoides,Encino,ripe,partially eaten (sample 59),ground (under feeding tree),eaten,4,8.96,8.96,60,0,2019-12-18 12:43,2019-12-18 14:50,2:07,0,Second,many,collect under oak tree where capuchins foraging,0.0000%
101,61,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm)," Digital Pocket Scale (up to 500g, sensitivity 0.01g)",Water blank ,,,,,,,,5,5,60,,,,,0,First,,,0.0000%
102,62,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm)," Digital Pocket Scale (up to 500g, sensitivity 0.01g)",0.1,standard,,,,,,,5,5,60,,2020-01-07 13:00,2020-01-07 15:10,2:10,0.034,First,,,0.0613%
103,63,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm)," Digital Pocket Scale (up to 500g, sensitivity 0.01g)",0.5,standard,,,,,,,5,5,60,,2020-01-07 13:00,2020-01-07 15:20,2:20,0.167,First,,,0.5345%
104,64,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm)," Digital Pocket Scale (up to 500g, sensitivity 0.01g)",1,standard,,,,,,,5,5,60,,2020-01-07 13:00,2020-01-07 15:27,2:27,0.305,First,,,1.0253%
105,65,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm)," Digital Pocket Scale (up to 500g, sensitivity 0.01g)",2,standard,,,,,,,5,5,60,,2020-01-07 13:00,2020-01-07 15:32,2:32,0.573,First,,,1.9787%
106,66,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm),,Fruit,Karwinskia calderonii,Huilihuiste,ripe,opened by capuchins eating,ground (under feeding tree),eaten,9,5.61,5.61,60,0,2020-01-07 13:00,2020-01-07 15:40,2:40,0,First,many,,0.0000%
107,67,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm),,Fruit,Karwinskia calderonii,Huilihuiste,unripe,intact,ground (under feeding tree),rejected,5,3.7,3.7,60,0,2020-01-07 13:00,2020-01-07 15:16,2:16,0,First,few,,0.0000%
108,68,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm),,Fruit,Alibertia edulis,Trompillo,ripe,bite marks,ground,rejected,5,21.03,21.03,60,0,2020-01-07 13:00,2020-01-07 15:23,2:23,0,First,many,,0.0000%
109,69,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm),,Fruit,Bromelia plumieri,Piñuela,unripe,,plant,other,3,53.07,53.07,60,0,2020-01-07 13:00,2020-01-07 15:29,2:29,0,First,few,capuchins were eating these fruit at the time; they eat this frequently,0.0000%
110,70,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm),,Fruit,Alibertia edulis,Trompillo,ripe,opened by capuchins eating,ground (under feeding tree),eaten,2,11.32,11.32,60,0,2020-01-07 13:00,2020-01-07 15:37,2:37,0.026,First,few,,0.0329%
111,71,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm),,Fruit,Alibertia edulis,Trompillo,ripe,partially eaten,ground (under feeding tree),eaten,3,34.1,34.1,60,0,2020-01-07 13:00,2020-01-07 15:43,2:43,0,First,few,,0.0000%
112,72,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm),,Fruit,Diospyros salicifolia,Lorito,unripe,bite marks,ground,rejected,16,39.74,39.74,60,0,2020-01-07 13:00,2020-01-07 15:50,2:50,0,First,many,,0.0000%
113,73,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm),,Fruit,Karwinskia calderonii,Huilihuiste,ripe,bite marks,ground,rejected,25,10.94,10.94,60,0,2020-01-07 13:00,2020-01-07 15:57,2:57,0,First,many,,0.0000%
114,74,January 7 2020,Suheidy Romero Morales,Costa Rica,Santa Rosa,Max 30.5,78.5,Sandwich (16.5 x 14.9 cm),,Fruit,Malvaviscus arboreus,Amapola,unripe,intact,plant,other,6,4.85,4.85,60,0,2020-01-07 13:00,2020-01-07 16:04,3:04,0,First,few,,0.0000%
